Kingdom,Phylum,Class,Order,Family,Genus,SpeciesVerbatim,SpeciesAcceptedName,FMR_kJ_d,Mass_g,Temp_C,Endotherm,Reference,Comment,Outlier
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo trutta trutta,Salmo trutta,7.30E+01,3.93E+02,14.00,0,Altimiras 2002,,0
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo trutta trutta,Salmo trutta,7.18E+01,3.93E+02,18.00,0,Altimiras 2002,,0
Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Turdoides,Turdoides squamiceps,Turdoides squamiceps,1.23E+02,7.03E+01,30.00,1,Anava 2002,,0
Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Turdoides,Turdoides squamiceps,Turdoides squamiceps,1.30E+02,7.56E+01,15.00,1,Anava 2002,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos,Actitis hypoleucos,1.46E+02,5.16E+01,11.50,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus,Lycaon pictus,1.53E+04,2.52E+04,19.50,1,Anderson 2005,,1
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,1.46E+02,8.08E+01,30.00,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Aepyprymnus,Aepyprymnus rufescens,Aepyprymnus rufescens,1.43E+03,2.86E+03,18.30,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Bettongia,Bettongia lesueur,Bettongia lesueur,4.42E+02,7.20E+02,25.50,1,Anderson 2005,,0
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,5.53E+01,5.12E+01,13.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Ptychoramphus,Plychoramphus aleuticus,Ptychoramphus aleuticus,4.13E+02,1.74E+02,14.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,Rissa tridaclyla,Rissa tridactyla,8.24E+02,3.65E+02,5.50,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Aethia pusilla,Aethia pusilla,3.50E+02,8.03E+01,7.70,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Aethia pusilla,Aethia pusilla,3.58E+02,8.35E+01,7.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Anous,Anous stolidus,Anous stolidus,3.52E+02,1.95E+02,24.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius hiaticula,Charadrius hiaticula,3.02E+02,7.48E+01,11.50,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alba,Calidris alba,1.00E+02,4.88E+01,26.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alba,Calidris alba,1.35E+02,5.34E+01,10.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alba,Calidris alba,1.29E+02,5.37E+01,22.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alba,Calidris alba,2.00E+02,6.42E+01,-2.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,Arenaria interpres,Arenaria interpres,3.64E+02,1.09E+02,2.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna paradisaea,Sterna paradisaea,3.35E+02,1.01E+02,14.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna hirundo,Sterna hirundo,3.43E+02,1.27E+02,14.70,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,Rissa tridactyla,Rissa tridactyla,7.95E+02,3.86E+02,4.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,Rissa tridactyla,Rissa tridactyla,9.04E+02,4.04E+02,6.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,Uria lomvia,Uria lomvia,1.48E+03,8.34E+02,7.40,1,Anderson 2005,,0
