"word","freq"
"rugby",72
"world",66
"tournament",56
"cup",54
"new",41
"zealand",38
"south",32
"australia",31
"africa",30
"france",30
"england",27
"nations",26
"teams",20
"final",18
"first",17
"wales",16
"tournaments",15
"match",14
"record",14
"union",13
"japan",13
"four",12
"held",12
"hosted",12
"pool",12
"eight",11
"ireland",11
"scotland",11
"host",11
"one",10
"qualifying",10
"argentina",10
"mens",9
"time",9
"history",9
"matches",9
"hosts",9
"international",8
"ellis",8
"game",8
"trophy",8
"won",8
"two",8
"points",8
"team",8
"also",8
"billion",8
"webb",7
"womens",7
"third",7
"years",6
"three",6
"twenty",6
"will",6
"event",6
"titles",6
"winner",6
"places",6
"determined",6
"place",6
"six",6
"competition",6
"became",6
"united",6
"top",5
"champions",5
"winners",5
"sixteen",5
"however",5
"title",5
"qualification",5
"qualify",5
"stages",5
"next",5
"system",5
"five",5
"total",5
"filled",5
"playing",5
"defeating",5
"nation",5
"win",5
"player",5
"isbn",5
"sport",4
"sports",4
"awarded",4
"number",4
"performance",4
"remaining",4
"knockout",4
"pools",4
"positions",4
"games",4
"extra",4
"score",4
"global",4
"played",4
"states",4
"australian",4
"second",4
"results",4
"single",4
"well",4
"outside",4
"traditional",4
"television",4
"revenue",4
"records",4
"black",4
"holds",4
"william",3
"football",3
"times",3
"defeated",3
"participated",3
"use",3
"format",3
"automatically",3
"group",3
"previous",3
"allocated",3
"last",3
"runnerup",3
"stage",3
"semifinals",3
"championship",3
"italy",3
"irfb",3
"known",3
"now",3
"delegates",3
"inaugural",3
"professional",3
"namibia",3
"estimated",3
"overall",3
"samoa",3
"red",3
"quarterfinals",3
"high",3
"capacity",3
"growth",3
"sources",3
"year",3
"attend­ance",3
"aet",3
"fourth",3
"scored",3
"tries",3
"lomu",3
"penalties",3
"contested",2
"named",2
"legend",2
"cohosted",2
"champion",2
"current",2
"expanded",2
"starting",2
"officially",2
"convention",2
"include",2
"words",2
"ever",2
"worldwide",2
"based",2
"twelve",2
"seeded",2
"followed",2
"drawn",2
"highestranked",2
"members",2
"play",2
"respective",2
"goes",2
"quarterfinal",2
"called",2
"death",2
"home",2
"joined",2
"olympic",2
"paris",2
"australasia",2
"gold",2
"london",2
"idea",2
"met",2
"proposal",2
"english",2
"welsh",2
"country",2
"jointly",2
"board",2
"rest",2
"throughout",2
"saw",2
"decided",2
"quarterfinalists",2
"test",2
"opening",2
"selected",2
"emerged",2
"africas",2
"era",2
"kingdom",2
"repechage",2
"specific",2
"claimed",2
"participating",2
"led",2
"lopsided",2
"scoring",2
"stands",2
"continental",2
"ten",2
"although",2
"englands",2
"celebration",2
"largest",2
"making",2
"sporting",2
"biggest",2
"story",2
"finish",2
"sanzaar",2
"blacks",2
"since",2
"hosting",2
"strongholds",2
"cups",2
"original",2
"face",2
"bill",2
"head",2
"selection",2
"ltd",2
"rwcl",2
"independent",2
"voting",2
"least",2
"stadium",2
"rights",2
"media",2
"olympics",2
"question",2
"million",2
"audience",2
"events",2
"across",2
"attendance",2
"figures",2
"avg",2
"gate",2
"receipts",2
"broadcasting",2
"sponsorship",2
"notes",2
"twentyfive",2
"excluding",2
"runnersup",2
"eliminated",2
"missed",2
"never",2
"fiji",2
"canada",2
"qualified",2
"invited",2
"expelled",2
"grant",2
"along",2
"habana",2
"share",2
"kicked",2
"gavin",2
"hastings",2
"quesada",2
"players",2
"carded",2
"portal",2
"sevens",2
"professionalism",2
"publishing",2
"williams",2
"auckland",2
"thesis",2
"university",2
"every",1
"recognised",1
"administered",1
"body",1
"governing",1
"according",1
"ball",1
"invented",1
"picking",1
"popular",1
"running",1
"countries",1
"twice",1
"expand",1
"twentyfour",1
"equivalent",1
"equality",1
"promote",1
"renamed",1
"end",1
"naming",1
"announced",1
"preceding",1
"instituted",1
"regions",1
"holders",1
"website",1
"httpswwwrugby",1
"rugbyworldcupcom",1
"worldcupcom",1
"americas",1
"europe",1
"oceania",1
"regionbased",1
"asia",1
"intercontinental",1
"playoff",1
"competing",1
"involves",1
"weeks",1
"divided",1
"round",1
"rankings",1
"qualifiers",1
"bonus",1
"used",1
"criteria",1
"determines",1
"higher",1
"level",1
"ranked",1
"enter",1
"consists",1
"different",1
"placed",1
"quarter",1
"proceed",1
"bronze",1
"contest",1
"ends",1
"losers",1
"draw",1
"fails",1
"sudden",1
"beginnings",1
"prior",1
"truly",1
"annual",1
"oldest",1
"started",1
"participate",1
"period",1
"reverted",1
"appearing",1
"subsequently",1
"summer",1
"antwerp",1
"medal",1
"ceased",1
"program",1
"back",1
"going",1
"numerous",1
"occasions",1
"suggested",1
"early",1
"opposition",1
"resurfaced",1
"several",1
"unions",1
"aru",1
"nzru",1
"establishment",1
"independently",1
"proposing",1
"put",1
"passed",1
"voted",1
"split",1
"june",1
"may",1
"instead",1
"involve",1
"part",1
"process",1
"taking",1
"eligible",1
"member",1
"seven",1
"firstever",1
"invitation",1
"britain",1
"subsequent",1
"introduced",1
"introduction",1
"twentyfournation",1
"thirtyfive",1
"official",1
"oneoff",1
"seriesb",1
"apartheid",1
"came",1
"dismantling",1
"resumption",1
"return",1
"upsetting",1
"advance",1
"continued",1
"mandela",1
"nelson",1
"president",1
"tense",1
"wearing",1
"went",1
"captain",1
"francois",1
"jersey",1
"pienaar",1
"presenting",1
"springbok",1
"alongside",1
"included",1
"regional",1
"date",1
"increased",1
"remained",1
"combination",1
"turning",1
"increase",1
"remarkably",1
"australias",1
"resulting",1
"allowed",1
"available",1
"another",1
"competitions",1
"directly",1
"crosscontinental",1
"intended",1
"originally",1
"broke",1
"dominance",1
"hemispheres",1
"southern",1
"central",1
"gathered",1
"greet",1
"people",1
"victory",1
"day",1
"kind",1
"defending",1
"racked",1
"wins",1
"european",1
"argentinas",1
"attention",1
"professionalization",1
"ahead",1
"bids",1
"november",1
"atop",1
"reclaimed",1
"narrow",1
"generated",1
"weekend",1
"upset",1
"favored",1
"heavily",1
"defend",1
"successfully",1
"blue",1
"scrum",1
"japans",1
"marked",1
"claim",1
"accordingly",1
"designations",1
"gender",1
"removed",1
"affected",1
"bear",1
"men",1
"name",1
"women",1
"policy",1
"retained",1
"covid",1
"delayed",1
"despite",1
"due",1
"issues",1
"schedule",1
"presented",1
"chosen",1
"created",1
"referred",1
"simply",1
"crown",1
"fellow",1
"garrards",1
"holder",1
"jewellers",1
"restored",1
"royal",1
"thomas",1
"warrant",1
"engraved",1
"lyte",1
"cast",1
"centimetres",1
"gilded",1
"handles",1
"scroll",1
"silver",1
"supported",1
"thirtyeight",1
"colloquially",1
"nymph",1
"reference",1
"satyr",1
"organised",1
"owned",1
"council",1
"managed",1
"procedure",1
"vote",1
"auditors",1
"generally",1
"kept",1
"secret",1
"example",1
"multiple",1
"must",1
"requires",1
"spectators",1
"venue",1
"construct",1
"millennium",1
"preparation",1
"sometimes",1
"stadia",1
"upgrade",1
"built",1
"eden",1
"park",1
"purposely",1
"upgraded",1
"coverage",1
"impact",1
"organizers",1
"state",1
"behind",1
"fifa",1
"accurate",1
"whether",1
"business",1
"emanating",1
"frequently",1
"partners",1
"reports",1
"touted",1
"audiences",1
"cumulative",1
"figure",1
"widely",1
"dismissed",1
"estimates",1
"factual",1
"methodology",1
"pointing",1
"reviews",1
"downplayed",1
"drawing",1
"handful",1
"inconsistencies",1
"power",1
"supposed",1
"average",1
"coming",1
"percent",1
"produced",1
"significantly",1
"accused",1
"british",1
"exaggerating",1
"isles",1
"claims",1
"exclusive",1
"reach",1
"dispute",1
"documented",1
"interest",1
"matter",1
"popularity",1
"remains",1
"watched",1
"achieved",1
"hours",1
"programming",1
"viewed",1
"viewing",1
"change",1
"att",1
"cancelled",1
"caused",1
"hagibis",1
"result",1
"scheduled",1
"typhoon",1
"key",1
"low",1
"source",1
"surplus",1
"keeps",1
"receive",1
"fees",1
"including",1
"keys",1
"resultmatch",1
"num",1
"includes",1
"finishing",1
"finished",1
"reached",1
"solo",1
"tournamentd",1
"best",1
"map",1
"apps",1
"compete",1
"chile",1
"georgia",1
"coast",1
"ivory",1
"portugal",1
"romania",1
"russia",1
"spain",1
"tonga",1
"uruguay",1
"zimbabwe",1
"just",1
"banned",1
"statistics",1
"jonny",1
"wilkinson",1
"career",1
"fox",1
"jason",1
"leonard",1
"culhane",1
"mccaw",1
"richie",1
"simon",1
"conversions",1
