"year","team","opposition","scored","conceded","match"
1987,"New Zealand","Italy",70,6,1
1987,"Australia","England",19,6,2
1987,"France","Scotland",20,20,3
1987,"Ireland","Wales",6,13,4
1987,"Argentina","Italy",25,16,5
1987,"New Zealand","Argentina",46,15,6
1987,"New Zealand","Scotland",30,3,7
1987,"Australia","Ireland",33,15,8
1987,"England","Wales",3,16,9
1987,"Australia","France",24,30,10
1987,"New Zealand","Wales",49,6,11
1987,"Australia","Wales",21,22,12
1987,"New Zealand","France",29,9,13
1991,"England","New Zealand",12,18,14
1991,"Scotland","Ireland",24,15,15
1991,"Australia","Argentina",32,19,16
1991,"England","Italy",36,6,17
1991,"Wales","Argentina",16,7,18
1991,"Wales","Australia",3,38,19
1991,"New Zealand","Italy",31,21,20
1991,"France","England",10,19,21
1991,"Ireland","Australia",18,19,22
1991,"Scotland","England",6,9,23
1991,"New Zealand","Australia",6,16,24
1991,"New Zealand","Scotland",13,6,25
1991,"England","Australia",6,12,26
1995,"South Africa","Australia",18,27,27
1995,"Ireland","New Zealand",19,43,28
1995,"England","Argentina",24,18,29
1995,"New Zealand","Wales",34,9,30
1995,"England","Italy",27,20,31
1995,"France","Scotland",22,19,32
1995,"Ireland","Wales",24,23,33
1995,"Argentina","Italy",25,31,34
1995,"France","Ireland",36,12,35
1995,"England","Australia",25,22,36
1995,"New Zealand","Scotland",48,30,37
1995,"South Africa","France",19,15,38
1995,"New Zealand","England",45,29,39
1995,"England","France",9,19,40
1995,"South Africa","New Zealand",15,12,41
1999,"Wales","Argentina",23,18,42
1999,"England","Italy",67,7,43
1999,"Scotland","South Africa",29,46,44
1999,"England","New Zealand",16,30,45
1999,"Ireland","Australia",3,23,46
1999,"New Zealand","Italy",101,3,47
1999,"Argentina","Ireland",28,24,48
1999,"Wales","Australia",9,24,49
1999,"England","South Africa",21,44,50
1999,"Scotland","New Zealand",18,30,51
1999,"Argentina","France",26,47,52
1999,"Australia","South Africa",27,21,53
1999,"New Zealand","France",31,43,54
1999,"South Africa","New Zealand",22,18,55
1999,"Australia","France",35,12,56
2003,"Australia","Argentina",24,8,57
2003,"New Zealand","Italy",70,7,58
2003,"England","South Africa",25,6,59
2003,"Italy","Wales",15,27,60
2003,"France","Scotland",51,9,61
2003,"Ireland","Argentina",16,15,62
2003,"Australia","Ireland",17,16,63
2003,"New Zealand","Wales",53,37,64
2003,"Australia","Scotland",33,16,65
2003,"England","Wales",28,17,66
2003,"France","Ireland",43,21,67
2003,"New Zealand","South Africa",29,9,68
2003,"Australia","New Zealand",22,10,69
2003,"England","France",24,7,70
2003,"New Zealand","France",40,13,71
2003,"Australia","England",17,20,72
2007,"France","Argentina",12,17,73
2007,"New Zealand","Italy",76,14,74
2007,"England","South Africa",0,36,75
2007,"Wales","Australia",20,32,76
2007,"France","Ireland",25,3,77
2007,"Scotland","New Zealand",0,40,78
2007,"Scotland","Italy",18,16,79
2007,"Argentina","Ireland",30,15,80
2007,"Australia","England",10,12,81
2007,"New Zealand","France",18,20,82
2007,"Argentina","Scotland",19,13,83
2007,"France","England",9,14,84
2007,"Argentina","South Africa",13,37,85
2007,"France","Argentina",10,34,86
2007,"England","South Africa",6,15,87
2011,"England","Argentina",13,9,88
2011,"South Africa","Wales",17,16,89
2011,"Australia","Italy",32,6,90
2011,"Ireland","Australia",15,6,91
2011,"New Zealand","France",37,17,92
2011,"Argentina","Scotland",13,12,93
2011,"England","Scotland",16,12,94
2011,"Ireland","Italy",36,6,95
2011,"Wales","Ireland",22,10,96
2011,"France","England",19,12,97
2011,"New Zealand","Argentina",33,10,98
2011,"South Africa","Australia",9,11,99
2011,"Wales","France",8,9,100
2011,"New Zealand","Australia",20,6,101
2011,"Australia","Wales",21,18,102
2011,"New Zealand","France",8,7,103
2015,"France","Italy",32,10,104
2015,"New Zealand","Argentina",26,16,105
2015,"England","Wales",25,28,106
2015,"South Africa","Scotland",34,16,107
2015,"England","Australia",13,33,108
2015,"Ireland","Italy",16,9,109
2015,"Australia","Wales",15,6,110
2015,"France","Ireland",9,24,111
2015,"South Africa","Wales",23,19,112
2015,"New Zealand","France",62,13,113
2015,"Ireland","Argentina",20,43,114
2015,"Australia","Scotland",35,34,115
2015,"South Africa","New Zealand",18,20,116
2015,"Argentina","Australia",15,29,117
2015,"South Africa","Argentina",24,13,118
2015,"New Zealand","Australia",34,17,119
2019,"France","Argentina",23,21,120
2019,"New Zealand","South Africa",23,13,121
2019,"Ireland","Scotland",27,3,122
2019,"Australia","Wales",25,29,123
2019,"South Africa","Italy",49,3,124
2019,"England","Argentina",39,10,125
2019,"New Zealand","Ireland",46,14,126
2019,"England","Australia",40,16,127
2019,"Wales","France",20,19,128
2019,"England","New Zealand",19,7,129
2019,"Wales","South Africa",16,19,130
2019,"New Zealand","Wales",40,17,131
2019,"England","South Africa",12,32,132
2023,"France","New Zealand",27,13,133
2023,"England","Argentina",27,10,134
2023,"South Africa","Scotland",18,3,135
2023,"South Africa","Ireland",8,13,136
2023,"Wales","Australia",40,6,137
2023,"New Zealand","Italy",96,17,138
2023,"France","Italy",60,7,139
2023,"Ireland","Scotland",36,14,140
2023,"Wales","Argentina",17,29,141
2023,"Ireland","New Zealand",24,28,142
2023,"France","South Africa",28,29,143
2023,"Argentina","New Zealand",6,44,144
2023,"England","South Africa",15,16,145
2023,"Argentina","England",23,26,146
2023,"New Zealand","South Africa",11,12,147
1987,"Italy","New Zealand",6,70,1
1987,"England","Australia",6,19,2
1987,"Scotland","France",20,20,3
1987,"Wales","Ireland",13,6,4
1987,"Italy","Argentina",16,25,5
1987,"Argentina","New Zealand",15,46,6
1987,"Scotland","New Zealand",3,30,7
1987,"Ireland","Australia",15,33,8
1987,"Wales","England",16,3,9
1987,"France","Australia",30,24,10
1987,"Wales","New Zealand",6,49,11
