"Ethnic.Group","ANZSOC.Division","ANZSOC.Group","ANZSOC.Subdivision","Mop.Division","Mop.Group","Mop.Subdivision","SEX","Date"
"Asian","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Female",2021-06-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Escape Custody Offences","Breach of Custodial Order Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Subvert the Course of Justice","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Community-Based Order, N.E.C.","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Escape Custody Offences","Breach of Custodial Order Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Subvert the Course of Justice","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-01-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Bail","Breach of Community-Based Order","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
