"year","month","day"
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2023,6,2
2022,9,5
2022,9,5
2023,6,5
2022,9,5
2022,9,1
2022,9,1
2022,9,1
2022,9,6
2022,9,6
2022,9,7
2022,9,7
2022,9,2
2022,9,2
2022,9,3
2023,5,3
2023,5,3
2023,6,5
2022,9,5
2022,9,5
2023,6,5
2022,9,5
2022,9,5
2022,9,5
2022,9,5
2022,9,5
2023,6,5
2022,9,5
2022,9,1
2023,6,1
2022,9,1
2023,6,1
2022,9,1
2022,9,1
2023,6,1
2022,9,1
2023,6,1
2023,6,1
2022,9,1
2022,9,1
2023,6,1
2022,9,1
2022,9,6
2022,9,6
2023,6,6
2023,6,6
2022,9,6
2022,9,6
2022,9,6
2022,9,6
2022,9,6
2022,9,6
2022,9,6
2022,9,6
2022,9,6
2022,9,6
2022,9,6
2022,9,7
2022,9,7
2022,9,7
2022,9,7
2022,9,7
2022,9,7
2022,9,7
2022,9,7
2022,9,4
2022,9,4
2022,9,4
2022,9,4
2022,9,4
2022,9,4
2022,9,4
2022,9,4
2022,9,2
2022,9,2
2022,9,2
2022,9,2
2023,6,3
2023,5,3
2022,9,3
2022,9,3
2023,5,3
2022,9,3
2023,6,3
2023,5,3
2023,6,3
2023,5,3
2023,5,3
2022,9,3
2023,6,3
2022,9,3
2023,5,3
2023,6,3
2023,5,3
2022,9,3
2023,5,3
2023,5,3
2023,6,3
2023,6,1
2023,6,1
2023,6,1
2022,9,1
2022,9,6
2022,9,4
2022,9,4
2022,9,2
2022,9,3
2023,5,3
2022,9,3
2022,9,3
2023,6,3
2022,9,5
2023,7,3
2023,7,3
2023,7,3
2023,6,1
2023,6,1
2023,6,1
2023,6,1
2023,6,1
2023,6,1
2023,6,1
2023,6,6
2023,6,6
2023,6,6
2023,6,6
2023,6,6
2023,6,6
2023,6,6
2023,6,6
2023,6,6
2023,6,6
2023,6,6
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,2
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2023,7,3
2020,2,5
2020,2,5
2020,2,5
2020,1,5
2020,1,5
2020,2,5
2020,1,5
2020,2,5
2020,1,5
2020,1,5
2020,1,5
2020,1,5
2020,2,5
2020,1,5
2020,2,5
2020,2,5
2020,1,5
2020,1,5
2020,2,5
2020,2,5
2020,2,5
2020,2,5
2020,2,5
2020,1,5
2020,1,5
2020,1,5
2020,1,5
2020,1,5
2020,1,5
2020,1,5
2020,1,5
2020,1,5
2020,1,5
2020,2,5
2020,2,5
2020,1,5
2020,1,5
2020,2,5
2020,2,5
2020,2,5
2020,1,5
2020,1,5
2020,1,5
2020,2,5
2020,2,5
2020,2,5
2020,2,5
2020,1,5
2020,1,5
2020,1,5
2020,2,5
2020,1,5
2020,1,5
2020,1,5
2020,1,5
2020,1,5
2020,2,5
2020,2,5
2020,1,5
2020,1,5
2020,1,5
2020,1,5
2020,2,5
2020,2,5
