u,v,L
-25.55583917319468,-60.18061720964997,10
-25.545992085749507,-60.06929717053776,10
-25.532329343489494,-59.929183681725526,10
-25.51407478741766,-59.75184840374528,10
-25.490147246098093,-59.52603871388652,10
-25.459063588154372,-59.23667722864897,10
-25.418803911855502,-58.86351028025997,10
-25.366627382012293,-58.379306187483785,10
-25.298825967449712,-57.747507605505795,10
-25.21040545673217,-56.919289867018335,10
-25.094693533537168,-55.830122948242206,10
-24.9429025614424,-54.396273898813504,10
-24.743734965612585,-52.512363146493335,10
-24.483230101249134,-50.052254691138224,10
-24.1452203756878,-46.87719914575509,10
-23.71294430023099,-42.85661338346526,10
-23.17237799479716,-37.90617095455426,10
-22.517342775878348,-32.041460680704056,10
-21.755108441557955,-25.4309565829557,10
-20.909447947662038,-18.41539387668816,10
-20.01766102971714,-11.460894719665571,10
-19.120862116237795,-5.046981016361909,10
-18.251654405174474,0.4600460754137372,10
-17.425562616207575,4.882321620519527,10
-16.639661703792164,8.226392079755136,10
-15.876896786308567,10.623981784477284,10
-15.112213574348281,12.26107417105332,10
-14.317513492811988,13.324654737256312,10
-13.464418802968614,13.974395523001457,10
-12.52514742707699,14.333648156841853,10
-11.472192152436305,14.491270953353457,10
-10.277390559675348,14.507813364051021,10
-8.910739066985068,14.422388685960582,10
-7.3391149332248125,14.25862368550151,10
-5.524955834414485,14.029225917144247,10
-3.424890785602344,13.739234186174137,10
-0.9882962560480761,13.38819822051091,10
1.8442478407524965,12.971555353146787,10
5.142613192172167,12.4814344120524,10
8.988873459439313,11.907066855316177,10
13.479092923520403,11.234941715131068,10
18.72503513327183,10.448810580809692,10
24.85558549169909,9.529632851936245,10
32.01756058045004,8.455549129227455,10
40.375418625882254,7.201980400651072,10
50.109194166695886,5.7419701337094144,10
61.409777208175896,4.046910820040953,10
74.4704944909958,2.087817129763402,10
89.47392394780577,-0.16269053522882612,10
106.57313148936827,-2.727568442838386,10
125.86724823322122,-5.621684443998435,10
147.3726678505278,-8.84749669268522,10
170.99314449697,-12.390567877460882,10
196.494380292208,-16.21575310938511,10
223.49049782636766,-20.265170680484545,10
251.44990019088303,-24.459081010426026,10
279.7253419475165,-28.70039726382396,10
307.60743169257796,-32.88271072157289,10
334.3937390086866,-36.900656817440606,10
359.4600335171895,-40.66060099313493,10
382.31873663805214,-44.08940646105239,10
402.65336803904836,-47.1396011711267,10
420.3249825602184,-49.790343349276306,10
435.35410004539966,-52.04471097204479,10
447.88657714633626,-53.924582537182445,10
458.15316157112863,-55.464570200900404,10
466.4308021397303,-56.70621628619037,10
473.0107220167058,-57.69320426773661,10
